mined_at,created_at,year,month,day,day_of_week,hour,minute,tweet_id,tweet_id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,hashtags,source,language,user_screen_name,user_id,user_location,user_favourites_count,followers_count,friends_count,text
2020-06-24 17:16:10.649508,2020-06-24 02:30:50+00:00,2020,6,24,2,2,30,1275617351044644866,1275617351044644866,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,saidTCeleste,1251661483668377606,,,45,537,Sitting her planning my birthday picnic and realizing that all of my best guy friends moved back home because of Covid 🤧😩😩😩
2020-06-24 17:16:13.136173,2020-06-24 03:12:11+00:00,2020,6,24,2,3,12,1275627754130563075,1275627754130563075,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,ce1esteee,2733877696,,,614,659,i jus wanna know who said i couldn’t adopt a dog this year at the picnic bc it’s canceled due to covid lmao
2020-06-24 17:16:11.430794,2020-06-24 04:20:25+00:00,2020,6,24,2,4,20,1275644926664019969,1275644926664019969,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,SeanLikeConnery,995656730309808129,,,118,753,RT @ChrisMWilliams: Just wanted to let my radio &amp; CF audience/Twitter family know that I have tested positive for COVID-19. This is no picn…
2020-06-24 17:16:12.171422,2020-06-24 04:38:55+00:00,2020,6,24,2,4,38,1275649581141934081,1275649581141934081,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,TakenByTC,76281701,,,450,379,"@difusella @ClayneCrawford @CCF_Birmingham I can understand. With Covid-19 still going on, I can't imagine traveling out of the country this year. You're going to have so much fun next year at the picnic and that's great you can make it a longer trip. 😊💕"
2020-06-24 17:16:13.136173,2020-06-24 06:24:15+00:00,2020,6,24,2,6,24,1275676090686746624,1275676090686746624,,,,[],"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,picnic_crasher,18290294,,,119,1315,"RT @yc: It’s really hitting right now me how many people have fucking died of COVID, of lack of healthcare, of violence, of racism, and on…"
2020-06-24 17:16:11.717203,2020-06-24 06:29:40+00:00,2020,6,24,2,6,29,1275677451692191744,1275677451692191744,,,,"[{'text': 'timeout'}, {'text': 'picnic'}, {'text': 'pic'}, {'text': 'art'}, {'text': 'africa'}, {'text': 'black'}, {'text': 'culture'}, {'text': 'explore'}, {'text': 'eventmanagement'}, {'text': 'design'}, {'text': 'goodvibes'}, {'text': 'healthylifestyle'}, {'text': 'happiness'}, {'text': 'xoxo'}, {'text': 'jumping'}, {'text': 'instagram'}, {'text': 'laughter'}, {'text': 'love'}, {'text': 'covid_19'}, {'text': 'people'}]","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",en,EventsTimeout,1151244340863393797,,,73,75,"Woman Crush Wednesday!

#timeout #picnic #pic #art #africa #black #culture #explore #eventmanagement #design #goodvibes #healthylifestyle #happiness💕 #xoxo #jumping #instagram #laughter #love #covid_19 #people… https://t.co/BMJuGIDXDq"
2020-06-24 17:16:09.508551,2020-06-24 06:53:34+00:00,2020,6,24,2,6,53,1275683468962418688,1275683468962418688,difusella,1.2756457308086313e+18,219572103.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,Southern__77,604356432,"Mississippi, USA",28966.0,514,880,@difusella @ClayneCrawford @CCF_Birmingham I don’t blame you Di. COVID-19 is still going strong and I personally wouldn’t take the risk of traveling or being in a crowd of people at this time. Hopefully next year will go much more smoothly and y’all can have a great time at the picnic. 🐷
2020-06-24 17:16:10.840117,2020-06-24 07:51:12+00:00,2020,6,24,2,7,51,1275697973519945734,1275697973519945734,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,Dibyend98681969,1180708185981640704,,,284,675,"RT @BJP4Bengal: While Modi government is burning the midnight oil to contain the Covid pandemic in India, TMC workers in Bengal hold picnic…"
2020-06-24 17:16:07.946584,2020-06-24 08:22:46+00:00,2020,6,24,2,8,22,1275705915572969473,1275705915572969473,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,chronister82,2780745882,,,264,807,RT @ChrisMWilliams: Just wanted to let my radio &amp; CF audience/Twitter family know that I have tested positive for COVID-19. This is no picn…
2020-06-24 17:16:11.717203,2020-06-24 08:50:58+00:00,2020,6,24,2,8,50,1275713013295788035,1275713013295788035,G_Squared39,1.2756545394928886e+18,1695156518.0,[],"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",en,VelvetRasputin,1244320929930510337,"Rice, MN",786.0,48,38,"@G_Squared39 @NotKallyn I hope this has answered all of your questions in a satisfactory manner. I need some sleep as I am going on a picnic with a friend, and a boat ride with my mom (with proper COVID-19 safety, of course.) You have a great morning, and if you have further questions DM me. God bless!"
2020-06-24 17:16:12.171422,2020-06-24 09:12:05+00:00,2020,6,24,2,9,12,1275718325042061312,1275718325042061312,SilverDraws,1.275506760921596e+18,18228424.0,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,LeedsResidents,1077135641106890752,"Leeds, England",751.0,295,497,"@SilverDraws Sat outside there with my dinner last night - loved this picnic bench for bringing people together (post Covid, of course!) https://t.co/tTzOnBDrDg"
2020-06-24 17:16:10.079175,2020-06-24 12:20:46+00:00,2020,6,24,2,12,20,1275765811920207873,1275765811920207873,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,Mothershiptons,477234365,,,1287,894,"Ooh this picnic is making us hungry 😋🥪
📸 by our_journey_covid_19 
https://t.co/rqtJtCRMik https://t.co/0bJM0qcayK"
2020-06-24 17:16:10.079175,2020-06-24 13:00:03+00:00,2020,6,24,2,13,0,1275775696741302273,1275775696741302273,,,,[],"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,willieng85,2317361744,,,342,374,"RT @NortheastTech: COVID canceled our end-of-year picnic, but it can't stop us from recognizing our outstanding employees on social media!…"
2020-06-24 17:16:08.277456,2020-06-24 13:01:58+00:00,2020,6,24,2,13,1,1275776179979485185,1275776179979485185,,,,[],"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tl,viemariee,2412635150,,,277,216,Imal na kaayog post na picnic akong ig-agaw na naas gawas kay wa na silay covid PINAS ANUNA
2020-06-24 17:16:11.911963,2020-06-24 15:03:00+00:00,2020,6,24,2,15,3,1275806639749242880,1275806639749242880,,,,[],"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",en,squatterant,3438250311,,,10434,6450,A New Photographic Series Makes the Most of Lockdown Props https://t.co/ObIKvePeup
